t,S,T_rem,option_value,hedge_shares,cash,step_pnl,theta_pnl,gamma_pnl,delta_mismatch_pnl,residual_pnl
1,100.9147441712588,0.08283730158730158,4.689738243837269,0.04604030722796759,-6.146255638780734e-13,-0.043592418361376506,0.013687254185531544,-0.05772263800505696,0.0,0.0004429654581489112
2,99.77394602624545,0.08234126984126984,4.5697796873092145,0.17081933938729876,-12.592169029988947,-0.0750367506695337,0.01368209952578529,-0.08732167709436761,-0.0,-0.0013971731009513877
3,99.96142170548792,0.0818452380952381,4.5611267608267525,0.014326758242730886,3.0217432921003327,0.011368822678687072,0.013727877887603794,-0.0024483527729318023,0.0,8.92975640150815e-05
4,99.71041777451143,0.08134920634920634,4.541643082403581,0.04025492130381125,0.4299315154754726,0.009383800107214261,0.013805891017386331,-0.004388931324948977,-0.0,-3.315958522309183e-05
5,99.51105897649738,0.0808531746031746,4.5296896959428,0.004950697524351844,3.9501696057263582,0.011005609349143174,0.013795665852688719,-0.002787567079883434,-0.0,-2.4894236621102184e-06
6,99.41701920183148,0.08035714285714285,4.518749491390132,-0.023388732732958273,6.7703234869963245,0.01320684128304153,0.01377674150621207,-0.0006231558844498368,-0.0,5.325566127929553e-05
7,98.52796986936255,0.0798611111111111,4.594189360936987,-0.03703596576113688,8.127171341310508,-0.042432442609693324,0.013783961019324158,-0.05588440188420004,-0.0,-0.00033200174481744227
8,98.42769699368962,0.07936507936507936,4.598004767233711,-0.1631023340286646,20.54843852805909,0.012743186310945844,0.01330448055764515,-0.0007052078921152933,-0.0,0.00014391364541598874
9,98.05054917177985,0.07886904761904762,4.662116055183546,-0.17796592532942757,22.011645957268993,0.0032265415826793972,0.013262967760434492,-0.00997665674389163,-0.0,-5.9769433863465435e-05
10,99.51415056734956,0.07837301587301587,4.460194685482371,-0.23150185036873916,27.261143254300972,-0.1366346150672425,0.012960805384412974,-0.1485968495124009,0.0,-0.0009985709392545672
11,99.61576799601498,0.07787698412698413,4.444371155454135,-0.024726377010776734,6.684123975346522,0.013377209600990453,0.013993191854996888,-0.0007389920107843486,0.0,0.00012300975677791322
12,99.46090017064174,0.07738095238095238,4.433679200558444,-0.010501910972625206,5.267195120283473,0.01237061667093322,0.014072058577153265,-0.0017208071386812396,-0.0,1.9365232461194745e-05
13,99.33783653278584,0.07688492063492063,4.424813758868332,-0.03312416081919589,7.517299029917899,0.01301639743078903,0.014062061487106745,-0.001090926974609612,-0.0,4.526291829189816e-05
14,99.04414868562422,0.07638888888888888,4.432186712633559,-0.05130340103034203,9.323277914680643,0.007786724013105385,0.014055159156136343,-0.006233295655996817,-0.0,-3.513948703414045e-05
15,98.58119899764877,0.07589285714285714,4.477671213071531,-0.09430842999066591,13.582809146678875,-0.00168969277799998,0.013947017640848337,-0.015508000616344548,-0.0,-0.00012870980250376945
16,98.41120592577111,0.07539682539682539,4.493714112333613,-0.16184584361858922,20.24092916119232,0.011670574737890273,0.013667528577494122,-0.002078684377405124,-0.0,8.173053780127434e-05
17,98.6241652518351,0.07490079365079365,4.443362278239292,-0.1871216044028371,22.72857274141544,0.010728024082657005,0.01356545481286992,-0.0032552530414737537,0.0,0.00041782231126083827
18,98.5208887284251,0.0744047619047619,4.446650994009985,-0.1572423390632478,19.78195138750463,0.013146974884887516,0.01378650848770239,-0.0007728800220797613,-0.0,0.0001333464192648879
19,98.94356838457422,0.07390873015873016,4.372423753795118,-0.1730354027276193,21.338109742009717,0.00130038223494405,0.013744058384163557,-0.01294785550214112,0.0,0.0005041793529216129
20,98.85701990532199,0.0734126984126984,4.368603233110811,-0.11209618005326605,15.308717467470814,0.013674146041666196,0.014108404600215264,-0.0005499827073968555,-0.0,0.0001157241488477876
21,98.86917429698445,0.07291666666666666,4.352962491407375,-0.125501982846828,16.63414020149439,0.014280361863100784,0.01409471571920672,-1.086516036971812e-05,0.0,0.00019651130426378248
22,99.55378180276738,0.07242063492063491,4.287934538932731,-0.12442016991682203,16.527346211315567,-0.01998706876653102,0.014149191052929094,-0.03459119382368808,0.0,0.00045493400422796926
23,99.79728641346136,0.07192460317460317,4.271988604434142,-0.023350258834143545,6.465518478295724,0.0103241805418083,0.014569310968969205,-0.004412853319864642,0.0,0.00016772289270373768
24,99.57443012704013,0.07142857142857142,4.258230091165096,0.012610780486728146,2.876732876340014,0.010976660435968446,0.014695781816541777,-0.0037009918587419164,-0.0,-1.812952183141356e-05
25,99.49484735308009,0.07093253968253968,4.245704883491285,-0.021009446117629005,6.224509531991153,0.014258948455537924,0.014677453228189814,-0.0004745520039564479,-0.0,5.6047231304557146e-05
26,99.73617290618216,0.07043650793650794,4.2272277101208005,-0.033349265806820516,7.452331939829552,0.010503074851863307,0.014697251333841607,-0.004380097408508397,0.0,0.00018592092653009658
27,100.6010682924901,0.06994047619047619,4.270674629418004,0.0026411286960745795,3.862826052224037,-0.04112429777638419,0.014833757550757028,-0.05637067613533676,0.0,0.0004126208081955407
28,100.48181575624436,0.06944444444444445,4.2410062890933276,0.13199407962575216,-9.15030977451998,0.013836935127480953,0.014938128954494033,-0.0010516007340605569,-0.0,-4.959309295252297e-05
29,100.3743561446612,0.06894841269841269,4.214529473331851,0.11442310011842194,-7.38481911073863,0.014107692135661199,0.015007549438024355,-0.0008609296412227047,-0.0,-3.892766114045078e-05
30,100.82499572212937,0.06845238095238095,4.2590304082473835,0.0984211301513156,-5.77868900622371,-0.00020580638978907211,0.01506994603614538,-0.015252213344368817,0.0,-2.353908156563591e-05
31,100.42915693948292,0.0679563492063492,4.1899072365759835,0.1658188545631507,-12.574189025048213,0.0033608948213218956,0.015044925341213072,-0.011591455508159132,-0.0,-9.257501173204515e-05
32,100.30023406558615,0.06746031746031746,4.162183562049897,0.10681429706286538,-6.6484770164934055,0.013886911589387584,0.015175369493578592,-0.001255018467491486,-0.0,-3.343943669952172e-05
33,100.69680291194213,0.06696428571428571,4.193511362901482,0.08731837635921469,-4.693078164677316,0.003253388842683502,0.015237636981170942,-0.011969610356126441,0.0,-1.4637782360998972e-05
34,100.95895175537093,0.06646825396825397,4.222137359406695,0.1474949546839197,-10.752773885970155,0.009932961461792051,0.01524265685465043,-0.0051704988057168525,0.0,-0.0001391965871415258
35,101.00161882831684,0.06597222222222222,4.215028427985899,0.18707476602115913,-14.748856466547913,0.014944546814239346,0.015215921531969937,-0.00013566019837833049,0.0,-0.00013571451935226117
36,101.305054636326,0.06547619047619047,4.265543860649416,0.19383851579474354,-15.43215923908804,0.008149017941519482,0.015253993822348905,-0.006869577241839253,0.0,-0.00023539863899017105
