rebalance_every_steps,rebalances_per_day,cost_bps,mean_net_pnl,mean_costs
1,8.0,0.0,0.45286123627678715,0.0
1,8.0,1.0,0.3746193901231994,0.07817759336876787
1,8.0,5.0,0.061652005508833686,0.39088796684383925
1,8.0,10.0,-0.329557225259122,0.7817759336876785
2,4.0,0.0,0.4595880272056128,0.0
2,4.0,1.0,0.40427853148820597,0.055264047122084776
2,4.0,5.0,0.18304054861857305,0.2763202356104239
2,4.0,10.0,-0.09350692996847183,0.5526404712208478
4,2.0,0.0,0.4433707450115477,0.0
4,2.0,1.0,0.40429571949948656,0.039042844440204415
4,2.0,5.0,0.24799561745124576,0.19521422220102208
4,2.0,10.0,0.052620489890939495,0.39042844440204416
8,1.0,0.0,0.44760083680504686,0.0
8,1.0,1.0,0.4202791150671184,0.027299127100990295
8,1.0,5.0,0.3109922281154129,0.1364956355049515
8,1.0,10.0,0.1743836194257821,0.272991271009903
16,0.5,0.0,0.4477885148641235,0.0
16,0.5,1.0,0.4279334996869258,0.019839392344656724
16,0.5,5.0,0.34851343897813414,0.09919696172328363
16,0.5,10.0,0.2492383630921454,0.19839392344656726
56,0.14285714285714285,0.0,0.44335900636344727,0.0
56,0.14285714285714285,1.0,0.4353054456131085,0.008046551039620604
56,0.14285714285714285,5.0,0.4030912026117546,0.04023275519810303
56,0.14285714285714285,10.0,0.36282339886006065,0.08046551039620606
